center_x,center_y,center_z,error
-15.0,-169.0,-0.33305921052631576,-4.613142655622558
-13.0,-169.0,-0.25669642857142855,-4.676015202543779
-11.0,-169.0,-0.2751358695652174,-4.744924362742289
-9.0,-169.0,-0.2450284090909091,-4.713468928489051
-7.0,-169.0,-0.2704326923076923,-4.681508607897008
-5.0,-169.0,-0.31640625,-4.607542804315719
-3.0,-169.0,-0.2994791666666667,-4.580622298365042
-1.0,-169.0,-0.31640625,-4.597779473776133
1.0,-169.0,-0.2450284090909091,-4.72071245917241
3.0,-169.0,-0.2751358695652174,-4.629055407076834
5.0,-169.0,-0.2450284090909091,-4.572321190410903
7.0,-169.0,-0.2751358695652174,-4.594451380497551
9.0,-169.0,-0.3170955882352941,-4.5910569364331835
11.0,-169.0,-0.33482142857142855,-4.662790928252018
13.0,-169.0,-0.2751358695652174,-4.5604713021036085
15.0,-169.0,-0.2450284090909091,-4.615617596684394
17.0,-169.0,-0.2751358695652174,-4.578435330756255
19.0,-169.0,-0.2450284090909091,-4.525749940232011
21.0,-169.0,-0.31640625,-4.470591017686406
23.0,-169.0,-0.2994791666666667,-4.524329338022062
25.0,-169.0,-0.31640625,-4.508748347267407
27.0,-169.0,-0.2704326923076923,-4.5372050031330895
29.0,-169.0,-0.2450284090909091,-4.543185979348156
31.0,-169.0,-0.2751358695652174,-4.485242224448745
33.0,-169.0,-0.25669642857142855,-4.473575463133718
35.0,-169.0,-0.33305921052631576,-4.382330168720979
37.0,-169.0,-0.2994791666666667,-4.404849618989169
39.0,-169.0,-0.31640625,-4.393130590266978
41.0,-169.0,-0.2450284090909091,-4.488461067790917
43.0,-169.0,-0.2704326923076923,-4.450747985729539
45.0,-169.0,-0.2751358695652174,-4.412848855390277
47.0,-169.0,-0.2450284090909091,-4.422988197634084
49.0,-169.0,-0.2751358695652174,-4.391519335492669
51.0,-169.0,-0.2450284090909091,-4.445842173317529
53.0,-169.0,-0.31640625,-4.363925751538666
55.0,-169.0,-0.2994791666666667,-4.347969341762313
57.0,-169.0,-0.33305921052631576,-4.297666737258756
